# region_index,r_pred
00,6.2369823
01,5.23246
02,5.1319427
03,4.085159
04,3.1137064
05,3.550832
06,3.00683
07,2.5563807
08,2.2524424
09,1.9109097
010,1.6068244
011,1.4908692
012,1.0882378
013,0.7810168
014,0.7242472
015,0.6047704
016,0.51239467
017,0.7007177
018,0.26337814
019,0.27207112
020,0.053833246
021,0.22049904
022,0.10635066
023,0.41547084
024,0.7003752
025,0.2482698
026,0.22661996
027,0.4738505
028,0.4609909
029,0.74602866
030,0.5114393
031,0.57030654
032,0.61046386
033,0.4379387
034,1.0934955
035,1.0698913
036,1.7565864
037,1.54286
038,1.4927483
039,1.7110356
040,1.9337589
041,2.0444787
042,2.1180415
043,2.5236592
044,2.300939
045,2.1444054
046,2.3225155
047,2.3318384
048,2.4145825
049,2.459881
10,6.2341805
11,4.737527
12,4.7603545
13,4.188134
14,2.5359125
15,3.5015914
16,4.5568914
17,1.9968027
18,1.9901161
19,1.8819076
110,1.2932354
111,1.1913531
112,1.0530772
113,0.87314284
114,0.6509106
115,0.42778182
116,0.4300053
117,0.5980489
118,0.49995828
119,0.4506061
120,0.09786773
121,0.09601426
122,0.33308053
123,0.62565494
124,0.8255658
125,0.4418261
126,0.56854415
127,0.35644364
128,0.6052816
129,0.64161205
130,0.20630264
131,0.5425906
132,0.5351994
133,0.9138483
134,1.2416552
135,1.8326092
136,1.1047772
137,1.4212359
138,1.3239949
139,1.1681598
140,1.5555899
141,1.6742067
142,1.4373384
143,1.2135922
144,1.4099979
145,1.7339785
146,1.6471567
147,1.487051
148,1.6106014
149,1.9610574
20,5.6277266
21,5.580082
22,5.337858
23,3.5780036
24,3.4456887
25,3.6061683
26,3.0967848
27,2.370666
28,2.02134
29,1.5723376
210,1.3357859
211,1.1682539
212,1.0645775
213,0.72364676
214,0.79196787
215,0.39660764
216,0.6597929
217,0.8820119
218,0.32028818
219,0.43317914
220,0.14521861
221,0.056402445
222,0.4820907
223,0.8078431
224,0.6406789
225,0.4277289
226,0.5442288
227,0.5906737
228,0.3548398
229,0.24075174
230,0.47503972
231,0.9279208
232,0.696352
233,1.5918331
234,1.5738006
235,1.8708186
236,1.5355906
237,1.3199272
238,1.631
239,1.5103245
240,1.5462161
241,1.5590626
242,1.718257
243,1.6883073
244,1.3769422
245,1.4732518
246,1.6497221
247,1.8924637
248,1.8033999
249,1.3939207
30,5.7433906
31,4.809119
32,4.865116
33,2.7984111
34,3.2448504
35,2.9043427
36,2.187641
37,2.500202
38,2.1535428
39,1.6258775
310,1.3730102
311,1.1652282
312,0.9917306
313,0.7784351
314,0.6888621
315,0.5905771
316,0.43381476
317,0.6824316
318,0.08538151
319,0.28182387
320,0.34388065
321,0.45341587
322,0.6157
323,0.93373466
324,0.56632304
325,0.5570781
326,0.6773374
327,0.7169329
328,0.32676053
329,0.6003759
330,0.7650981
331,0.97851586
332,1.4018545
333,1.7922983
334,1.6467383
335,1.4864118
336,1.6753708
337,1.5601145
338,1.5643666
339,1.5508283
340,1.7681628
341,1.9225656
342,1.8364778
343,1.8719088
344,1.8278775
345,1.6971936
346,1.6725948
347,1.866101
348,1.6785009
349,1.6907501
40,5.3975124
41,5.7085285
42,4.3545756
43,2.71438
44,3.46441
45,2.9258525
46,2.206165
47,2.2145343
48,1.5517925
49,1.4159044
410,1.6614641
411,1.0300545
412,1.0420423
