# region_index,r_pred
153,1.9759977
154,2.0119047
155,1.8478802
156,2.26042
157,4.4691353
158,4.7351537
159,5.4391956
1510,6.138608
1511,6.882119
1512,5.5006638
1513,4.9583864
1514,6.1516976
1515,3.1474745
1516,4.5468516
1517,3.1369307
1518,2.5359085
1519,2.679413
160,1.9756238
161,1.9554594
162,1.9977837
163,1.327922
164,1.9134383
165,1.4514006
166,1.5661969
167,1.9768473
168,2.5573864
169,3.23574
1610,2.7893012
1611,3.6340342
1612,3.5538287
1613,3.0728903
1614,2.918319
1615,2.527298
1616,2.371132
1617,1.7482322
1618,2.023571
1619,2.2725437
170,3.770172
171,2.318045
172,2.3500872
173,2.128799
174,1.8481688
175,1.5358527
176,1.3618674
177,1.4079379
178,1.3700544
179,1.3328384
1710,1.4494799
1711,1.2289132
1712,1.1967983
1713,1.081142
1714,1.6848117
1715,1.3886044
1716,1.4909617
1717,1.3988998
1718,1.1197743
1719,1.0787026
180,4.2074127
181,2.9242234
182,2.6264443
183,2.065314
184,1.6400856
185,1.5727799
186,1.2080728
187,0.9800856
188,0.8860884
189,0.8664769
1810,0.4783013
1811,0.75520384
1812,1.3167346
1813,0.9921694
1814,0.96720433
1815,1.0624746
1816,0.9754269
1817,1.0752157
1818,0.8604337
1819,1.0863116
190,4.927254
191,2.7422333
192,2.7575464
193,2.1053948
194,1.6974427
195,1.53775
196,1.2579234
197,0.86202824
198,0.8548455
199,1.1114087
1910,0.931038
1911,0.6444037
1912,0.57363486
1913,0.8696308
1914,0.80717874
1915,0.7283441
1916,0.5701413
1917,0.34667826
1918,0.6921227
1919,0.75534487
