# region_index,r_pred
00,6.2369823
01,1.7690231
02,0.5025301
03,0.6636584
04,0.3943131
05,1.9481474
06,2.459881
10,4.830167
11,1.8223169
12,0.88573587
13,1.0055096
14,4.007366
15,2.95545
16,2.8083346
20,4.256395
21,2.1345818
22,5.4023933
23,9.451645
24,9.245496
25,7.0995255
26,2.7743561
30,1.1925204
31,2.9765172
32,7.218012
33,7.782113
34,8.642989
35,7.920636
36,2.7944977
40,1.5006813
41,2.583156
42,6.7238665
43,9.30258
44,8.276027
45,6.131154
46,2.6635053
50,2.0735574
51,2.297242
52,1.7778895
53,4.094709
54,2.9487696
55,2.565505
56,2.6376302
60,4.927254
61,2.1942792
62,1.3936516
63,0.89196515
64,0.98151684
65,0.5264354
66,0.75534487
